Wavelength,External Quantum Efficiency
300,-3.730710263
305,-1.547924738
310,-7.393815683
315,-3.971589652
320,-1.999897442
325,2.547112047
330,10.43019747
335,14.2267313
340,13.36507808
345,14.69843209
350,16.34554834
355,17.41732877
360,17.35478496
365,17.44630812
370,17.43320352
375,16.98631999
380,17.53451049
385,17.64259593
390,17.91618032
395,18.02170798
400,18.15619996
405,18.61765694
410,18.91497058
415,19.06002917
420,19.07187646
425,18.99151447
430,18.5388037
435,17.8365342
440,17.65148967
445,16.83029485
450,16.63494351
455,15.93524499
460,15.48353784
465,15.04266206
470,14.8969982
475,14.70676527
480,14.51833459
485,14.46530622
490,14.53990316
495,14.71186921
500,15.02049153
505,15.32534214
510,15.60957123
515,16.04174623
520,16.49831986
525,17.13420337
530,17.79720948
535,18.49897629
540,19.26352844
545,20.12748142
550,20.89624961
555,21.82825569
560,22.81991678
565,23.73473716
570,24.74438338
575,25.61571334
580,26.50656399
585,27.24353706
590,27.92743039
595,28.44303365
600,28.90638239
605,29.47293818
610,29.97452568
615,30.52301225
620,31.1212276
625,31.75331173
630,32.39923839
635,33.07885728
640,33.5972039
645,33.92821407
650,33.90821066
655,33.6037217
660,32.98976581
665,32.24342061
670,31.63993717
675,31.19801279
680,31.06339471
685,31.20730475
690,31.78033993
695,32.66789595
700,33.64542408
705,34.60161986
710,35.30195335
715,35.74477691
720,35.56138102
725,34.82024968
730,33.71744458
735,32.4319291
740,31.17580998
745,29.86599284
750,28.25001088
755,25.92299521
760,22.61970061
765,18.50522598
770,14.10667672
775,10.06061873
780,6.804583017
785,4.380955143
790,2.768636724
795,1.741263326
800,1.194754333
805,0.696388637
810,0.533745425
815,0.387231723
820,0.248671167
825,0.207486525
830,0.176493223
835,0.150430467
840,0.120151169
845,0.126535279
850,0.139641365
855,0.114158276
860,0.064528093
865,0.07212859
870,0.058862988
875,0.042680091
880,0.035288768
885,0.024993916
890,0.040282818
895,0.045819222
900,0.057174384
905,0.09665017
910,0.081852663
915,0.111290405
920,0.076898402
925,0.085943797
930,0.10373394
935,0.106086371
940,0.029883678
945,0.040795368
950,0.066655957
955,0.071696387
960,0.056354864
965,0.014205888
970,0.061523963
975,0.011464163
980,-0.011513458
985,-0.022351848
990,-0.030544753
995,-0.045637837
1000,0.030704575
1005,0.014401348
1010,-0.020062897
1015,-0.016058709
1020,-0.000731221
1025,-0.013504266
1030,-0.010773712
1035,0.025260258
1040,0.009448106
1045,0.008039482
1050,0.031443838
1055,0.003659782
1060,-0.015910408
1065,-0.020724424
1070,0.049957369
1075,-0.02252237
1080,-0.027489486
1085,0.000761872
1090,0.071500229
1095,-0.020455734
1100,-0.068365589
